Time,Target,Measured,Error
0,20.00,0.00,20.00
1,20.00,0.00,20.00
2,20.00,0.14,19.86
3,20.00,0.41,19.59
4,20.00,1.16,18.84
5,20.00,2.50,17.50
6,20.00,4.67,15.33
7,20.00,7.30,12.70
8,20.00,10.74,9.26
9,20.00,14.54,5.46
10,20.00,18.50,1.50
12,20.00,22.52,-2.52
13,20.00,26.83,-6.83
14,20.00,30.77,-10.77
15,20.00,34.78,-14.78
16,20.00,38.63,-18.63
17,20.00,41.67,-21.67
18,20.00,45.23,-25.23
19,20.00,48.54,-28.54
20,20.00,51.63,-31.63
21,20.00,54.48,-34.48
22,20.00,57.22,-37.22
23,20.00,59.76,-39.76
24,20.00,62.04,-42.04
26,20.00,64.24,-44.24
27,20.00,66.41,-46.41
28,20.00,68.38,-48.38
29,20.00,70.37,-50.37
30,20.00,72.31,-52.31
31,20.00,74.16,-54.16
32,20.00,75.89,-55.89
33,20.00,77.63,-57.63
34,20.00,79.35,-59.35
35,20.00,80.66,-60.66
36,20.00,82.03,-62.03
37,20.00,83.27,-63.27
38,20.00,84.34,-64.34
40,20.00,85.20,-65.20
41,20.00,86.02,-66.02
42,20.00,86.02,-66.02
43,20.00,86.72,-66.72
44,20.00,87.23,-67.23
45,20.00,87.69,-67.69
46,20.00,87.94,-67.94
47,20.00,88.26,-68.26
48,20.00,88.33,-68.33
49,20.00,88.26,-68.26
50,20.00,88.30,-68.30
51,20.00,88.16,-68.16
53,20.00,88.03,-68.03
54,20.00,87.91,-67.91
55,20.00,87.85,-67.85
56,20.00,87.89,-67.89
57,20.00,88.01,-68.01
58,20.00,88.18,-68.18
59,20.00,88.51,-68.51
60,20.00,88.95,-68.95
61,20.00,89.39,-69.39
62,20.00,90.07,-70.07
63,20.00,90.81,-70.81
64,20.00,91.77,-71.77
65,20.00,92.57,-72.57
67,20.00,93.53,-73.53
68,20.00,93.50,-73.50
69,20.00,94.41,-74.41
70,20.00,95.15,-75.15
71,20.00,95.76,-75.76
72,20.00,96.43,-76.43
73,20.00,96.83,-76.83
74,20.00,97.33,-77.33
75,20.00,97.54,-77.54
76,20.00,97.75,-77.75
77,20.00,97.73,-77.73
78,20.00,97.85,-77.85
79,20.00,97.55,-77.55
81,20.00,97.22,-77.22
82,20.00,96.83,-76.83
83,20.00,96.19,-76.19
84,20.00,95.79,-75.79
85,20.00,95.30,-75.30
86,20.00,94.84,-74.84
87,20.00,94.40,-74.40
88,20.00,94.12,-74.12
89,20.00,93.78,-73.78
90,20.00,93.52,-73.52
91,20.00,93.43,-73.43
92,20.00,92.49,-72.49
93,20.00,92.50,-72.50
95,20.00,92.55,-72.55
96,20.00,92.58,-72.58
97,20.00,92.26,-72.26
98,20.00,92.16,-72.16
99,20.00,91.91,-71.91
100,20.00,91.83,-71.83
101,20.00,91.44,-71.44
102,20.00,91.24,-71.24
103,20.00,90.66,-70.66
104,20.00,90.28,-70.28
105,20.00,89.51,-69.51
106,20.00,88.79,-68.79
107,20.00,88.10,-68.10
109,20.00,87.16,-67.16
110,20.00,86.28,-66.28
111,20.00,85.28,-65.28
112,20.00,84.00,-64.00
113,20.00,83.01,-63.01
114,20.00,81.73,-61.73
115,20.00,80.71,-60.71
116,20.00,79.37,-59.37
117,20.00,78.09,-58.09
118,20.00,76.33,-56.33
119,20.00,75.04,-55.04
120,20.00,73.70,-53.70
121,20.00,72.34,-52.34
123,20.00,71.13,-51.13
124,20.00,69.71,-49.71
125,20.00,68.26,-48.26
126,20.00,66.92,-46.92
127,20.00,65.53,-45.53
128,20.00,64.18,-44.18
129,20.00,62.92,-42.92
130,20.00,61.44,-41.44
131,20.00,60.10,-40.10
132,20.00,58.79,-38.79
133,20.00,57.50,-37.50
134,20.00,56.24,-36.24
135,20.00,55.00,-35.00
137,20.00,53.66,-33.66
138,20.00,52.50,-32.50
139,20.00,51.38,-31.38
140,20.00,50.09,-30.09
141,20.00,48.85,-28.85
142,20.00,47.74,-27.74
143,20.00,46.35,-26.35
144,20.00,45.27,-25.27
145,20.00,44.17,-24.17
146,20.00,43.13,-23.13
147,20.00,42.03,-22.03
148,20.00,41.06,-21.06
149,20.00,40.09,-20.09
151,20.00,39.00,-19.00
152,20.00,38.02,-18.02
153,20.00,37.14,-17.14
154,20.00,36.20,-16.20
155,20.00,35.36,-15.36
156,20.00,34.39,-14.39
157,20.00,33.51,-13.51
158,20.00,32.62,-12.62
159,20.00,31.78,-11.78
160,20.00,30.91,-10.91
161,20.00,30.14,-10.14
162,20.00,29.37,-9.37
163,20.00,28.75,-8.75
165,20.00,27.97,-7.97
166,20.00,27.17,-7.17
167,20.00,26.59,-6.59
168,20.00,25.92,-5.92
169,20.00,25.07,-5.07
170,20.00,24.53,-4.53
171,20.00,23.96,-3.96
172,20.00,23.28,-3.28
173,20.00,22.69,-2.69
174,20.00,22.20,-2.20
175,20.00,21.58,-1.58
176,20.00,21.17,-1.17
177,20.00,20.73,-0.73
179,20.00,20.43,-0.43
180,20.00,19.99,0.01
181,20.00,19.63,0.37
182,20.00,19.27,0.73
183,20.00,18.91,1.09
184,20.00,18.48,1.52
185,20.00,18.23,1.77
186,20.00,17.94,2.06
187,20.00,17.64,2.36
188,20.00,17.37,2.63
189,20.00,17.03,2.97
190,20.00,16.82,3.18
191,20.00,16.53,3.47
193,20.00,16.37,3.63
194,20.00,16.12,3.88
195,20.00,16.00,4.00
196,20.00,15.97,4.03
197,20.00,15.98,4.02
198,20.00,15.94,4.06
199,20.00,15.95,4.05
200,20.00,15.82,4.18
201,20.00,15.80,4.20
202,20.00,15.82,4.18
203,20.00,15.63,4.37
204,20.00,15.56,4.44
205,20.00,15.64,4.36
207,20.00,15.54,4.46
208,20.00,15.55,4.45
209,20.00,15.56,4.44
210,20.00,15.54,4.46
211,20.00,15.69,4.31
212,20.00,15.69,4.31
213,20.00,15.90,4.10
214,20.00,15.91,4.09
215,20.00,16.10,3.90
216,20.00,16.20,3.80
217,20.00,16.36,3.64
218,20.00,16.36,3.64
219,20.00,16.29,3.71
221,20.00,16.41,3.59
222,20.00,16.51,3.49
223,20.00,16.54,3.46
224,20.00,16.70,3.30
225,20.00,16.81,3.19
226,20.00,16.80,3.20
227,20.00,17.08,2.92
228,20.00,17.29,2.71
229,20.00,17.38,2.62
230,20.00,17.60,2.40
231,20.00,17.66,2.34
232,20.00,17.89,2.11
233,20.00,18.02,1.98
235,20.00,18.07,1.93
236,20.00,18.11,1.89
237,20.00,18.15,1.85
238,20.00,18.26,1.74
239,20.00,18.39,1.61
240,20.00,18.44,1.56
241,20.00,18.59,1.41
242,20.00,18.73,1.27
243,20.00,18.81,1.19
244,20.00,18.78,1.22
245,20.00,18.86,1.14
246,20.00,19.04,0.96
247,20.00,19.13,0.87
249,20.00,19.14,0.86
250,20.00,19.11,0.89
251,20.00,19.16,0.84
252,20.00,19.24,0.76
253,20.00,19.34,0.66
254,20.00,19.37,0.63
255,20.00,19.43,0.57
256,20.00,19.48,0.52
257,20.00,19.67,0.33
258,20.00,19.62,0.38
259,20.00,19.80,0.20
260,20.00,19.85,0.15
261,20.00,19.82,0.18
263,20.00,19.73,0.27
264,20.00,19.82,0.18
265,20.00,19.65,0.35
266,20.00,19.68,0.32
267,20.00,19.71,0.29
268,20.00,19.77,0.23
269,20.00,19.78,0.22
270,20.00,19.55,0.45
271,20.00,19.48,0.52
272,20.00,19.74,0.26
273,20.00,19.65,0.35
274,20.00,19.68,0.32
275,20.00,19.71,0.29
277,20.00,19.59,0.41
278,20.00,19.62,0.38
279,20.00,19.44,0.56
280,20.00,19.53,0.47
281,20.00,19.50,0.50
282,20.00,19.51,0.49
283,20.00,19.44,0.56
284,20.00,19.46,0.54
285,20.00,19.40,0.60
286,20.00,19.45,0.55
287,20.00,19.50,0.50
288,20.00,19.51,0.49
289,20.00,19.55,0.45
291,20.00,19.63,0.37
292,20.00,19.34,0.66
293,20.00,19.36,0.64
294,20.00,19.38,0.62
295,20.00,19.19,0.81
296,20.00,19.02,0.98
297,20.00,19.11,0.89
298,20.00,19.19,0.81
299,20.00,19.16,0.84
300,20.00,19.17,0.83
301,20.00,19.14,0.86
302,20.00,19.11,0.89
303,20.00,19.16,0.84
305,20.00,19.24,0.76
306,20.00,19.24,0.76
307,20.00,19.20,0.80
308,20.00,19.31,0.69
309,20.00,19.19,0.81
310,20.00,19.13,0.87
311,20.00,19.21,0.79
312,20.00,19.21,0.79
313,20.00,19.14,0.86
314,20.00,19.19,0.81
315,20.00,19.12,0.88
316,20.00,19.20,0.80
317,20.00,19.20,0.80
319,20.00,19.28,0.72
320,20.00,19.27,0.73
