Time,Target,Measured,Error
229,20.00,22.10,-2.10
230,20.00,21.00,-1.00
231,20.00,26.52,-6.52
232,20.00,22.10,-2.10
233,20.00,25.05,-5.05
234,20.00,23.21,-3.21
235,20.00,19.52,0.48
236,20.00,22.47,-2.47
237,20.00,19.16,0.84
238,20.00,22.47,-2.47
239,20.00,24.31,-4.31
240,20.00,22.84,-2.84
241,20.00,22.47,-2.47
242,20.00,19.52,0.48
243,20.00,19.52,0.48
244,20.00,18.05,1.95
245,20.00,16.21,3.79
246,20.00,17.68,2.32
247,20.00,18.79,1.21
248,20.00,22.84,-2.84
249,20.00,18.79,1.21
250,20.00,20.63,-0.63
252,20.00,19.16,0.84
253,20.00,16.95,3.05
254,20.00,16.95,3.05
255,20.00,15.84,4.16
256,20.00,18.42,1.58
257,20.00,21.00,-1.00
258,20.00,21.37,-1.37
259,20.00,25.05,-5.05
260,20.00,23.58,-3.58
261,20.00,24.31,-4.31
262,20.00,20.63,-0.63
263,20.00,21.37,-1.37
264,20.00,20.26,-0.26
265,20.00,19.16,0.84
266,20.00,23.95,-3.95
267,20.00,22.10,-2.10
268,20.00,25.05,-5.05
269,20.00,23.95,-3.95
270,20.00,20.63,-0.63
271,20.00,19.16,0.84
272,20.00,15.84,4.16
273,20.00,17.68,2.32
274,20.00,18.05,1.95
275,20.00,17.31,2.69
276,20.00,21.37,-1.37
278,20.00,21.73,-1.73
279,20.00,22.10,-2.10
280,20.00,18.42,1.58
281,20.00,18.05,1.95
282,20.00,16.58,3.42
283,20.00,15.10,4.90
284,20.00,17.68,2.32
285,20.00,15.84,4.16
286,20.00,21.37,-1.37
287,20.00,21.74,-1.74
288,20.00,21.73,-1.73
289,20.00,23.95,-3.95
290,20.00,20.63,-0.63
291,20.00,22.47,-2.47
292,20.00,21.00,-1.00
293,20.00,19.89,0.11
294,20.00,21.00,-1.00
295,20.00,21.74,-1.74
296,20.00,23.95,-3.95
297,20.00,22.47,-2.47
298,20.00,22.84,-2.84
299,20.00,21.74,-1.74
300,20.00,16.58,3.42
301,20.00,19.52,0.48
303,20.00,15.84,4.16
304,20.00,18.79,1.21
305,20.00,18.79,1.21
306,20.00,22.47,-2.47
307,20.00,21.37,-1.37
308,20.00,18.79,1.21
309,20.00,19.89,0.11
310,20.00,14.74,5.26
311,20.00,16.95,3.05
312,20.00,16.58,3.42
313,20.00,16.21,3.79
314,20.00,18.42,1.58
315,20.00,20.26,-0.26
316,20.00,22.84,-2.84
317,20.00,22.84,-2.84
318,20.00,21.00,-1.00
319,20.00,22.47,-2.47
320,20.00,19.52,0.48
321,20.00,18.79,1.21
322,20.00,19.16,0.84
323,20.00,22.10,-2.10
324,20.00,23.95,-3.95
325,20.00,21.37,-1.37
326,20.00,22.10,-2.10
327,20.00,18.42,1.58
329,20.00,19.52,0.48
330,20.00,17.31,2.69
331,20.00,17.68,2.32
332,20.00,16.21,3.79
333,20.00,18.42,1.58
334,20.00,23.58,-3.58
335,20.00,18.79,1.21
336,20.00,20.63,-0.63
337,20.00,18.05,1.95
338,20.00,16.21,3.79
339,20.00,14.74,5.26
340,20.00,14.37,5.63
341,20.00,15.10,4.90
342,20.00,19.89,0.11
343,20.00,20.63,-0.63
344,20.00,22.47,-2.47
345,20.00,22.47,-2.47
346,20.00,25.05,-5.05
347,20.00,20.26,-0.26
348,20.00,20.26,-0.26
349,20.00,19.52,0.48
350,20.00,17.68,2.32
351,20.00,19.16,0.84
352,20.00,19.16,0.84
354,20.00,21.74,-1.74
355,20.00,22.84,-2.84
356,20.00,19.16,0.84
357,20.00,19.52,0.48
358,20.00,18.05,1.95
359,20.00,18.79,1.21
360,20.00,18.42,1.58
361,20.00,17.31,2.69
362,20.00,20.63,-0.63
363,20.00,20.63,-0.63
364,20.00,21.37,-1.37
365,20.00,19.52,0.48
366,20.00,19.16,0.84
367,20.00,19.16,0.84
368,20.00,15.10,4.90
369,20.00,19.52,0.48
370,20.00,15.10,4.90
371,20.00,22.84,-2.84
372,20.00,24.31,-4.31
373,20.00,21.74,-1.74
374,20.00,25.79,-5.79
375,20.00,21.37,-1.37
376,20.00,22.47,-2.47
377,20.00,20.26,-0.26
379,20.00,19.89,0.11
380,20.00,19.89,0.11
381,20.00,20.26,-0.26
382,20.00,24.31,-4.31
383,20.00,23.21,-3.21
384,20.00,22.47,-2.47
385,20.00,21.37,-1.37
386,20.00,19.16,0.84
387,20.00,17.68,2.32
388,20.00,19.16,0.84
389,20.00,17.31,2.69
390,20.00,20.63,-0.63
391,20.00,21.00,-1.00
392,20.00,23.21,-3.21
393,20.00,19.89,0.11
394,20.00,21.00,-1.00
395,20.00,16.21,3.79
396,20.00,16.95,3.05
397,20.00,17.31,2.69
398,20.00,16.21,3.79
399,20.00,20.63,-0.63
400,20.00,21.37,-1.37
401,20.00,24.31,-4.31
402,20.00,26.16,-6.16
403,20.00,21.00,-1.00
405,20.00,21.74,-1.74
406,20.00,20.26,-0.26
407,20.00,19.16,0.84
408,20.00,19.52,0.48
409,20.00,22.47,-2.47
410,20.00,26.52,-6.52
411,20.00,21.74,-1.74
412,20.00,25.79,-5.79
413,20.00,19.89,0.11
414,20.00,21.00,-1.00
415,20.00,18.42,1.58
416,20.00,15.47,4.53
417,20.00,16.21,3.79
418,20.00,14.37,5.63
419,20.00,17.68,2.32
420,20.00,20.63,-0.63
421,20.00,17.68,2.32
422,20.00,19.16,0.84
423,20.00,17.68,2.32
424,20.00,18.79,1.21
425,20.00,17.31,2.69
426,20.00,19.52,0.48
427,20.00,19.52,0.48
428,20.00,21.74,-1.74
430,20.00,25.05,-5.05
431,20.00,25.05,-5.05
432,20.00,26.16,-6.16
433,20.00,24.68,-4.68
434,20.00,20.63,-0.63
435,20.00,23.21,-3.21
436,20.00,19.16,0.84
437,20.00,20.63,-0.63
438,20.00,20.63,-0.63
439,20.00,23.58,-3.58
440,20.00,23.95,-3.95
441,20.00,20.63,-0.63
442,20.00,19.52,0.48
443,20.00,16.21,3.79
444,20.00,18.42,1.58
445,20.00,16.95,3.05
446,20.00,15.84,4.16
447,20.00,18.42,1.58
448,20.00,20.26,-0.26
449,20.00,25.05,-5.05
450,20.00,21.00,-1.00
451,20.00,19.16,0.84
452,20.00,18.42,1.58
453,20.00,16.95,3.05
455,20.00,16.95,3.05
456,20.00,16.58,3.42
457,20.00,21.37,-1.37
458,20.00,22.84,-2.84
459,20.00,22.47,-2.47
460,20.00,23.95,-3.95
461,20.00,22.47,-2.47
462,20.00,20.26,-0.26
463,20.00,22.10,-2.10
464,20.00,19.52,0.48
465,20.00,18.42,1.58
466,20.00,21.74,-1.74
467,20.00,22.47,-2.47
468,20.00,22.10,-2.10
469,20.00,22.47,-2.47
470,20.00,20.63,-0.63
471,20.00,16.58,3.42
472,20.00,17.68,2.32
473,20.00,15.47,4.53
474,20.00,17.31,2.69
475,20.00,19.89,0.11
476,20.00,19.89,0.11
477,20.00,22.84,-2.84
478,20.00,19.16,0.84
479,20.00,18.79,1.21
481,20.00,18.05,1.95
482,20.00,13.26,6.74
483,20.00,15.47,4.53
484,20.00,12.53,7.47
485,20.00,15.84,4.16
486,20.00,15.10,4.90
487,20.00,18.42,1.58
488,20.00,21.37,-1.37
489,20.00,21.00,-1.00
490,20.00,21.74,-1.74
491,20.00,19.52,0.48
492,20.00,23.21,-3.21
493,20.00,21.74,-1.74
494,20.00,19.16,0.84
495,20.00,23.95,-3.95
496,20.00,22.47,-2.47
497,20.00,24.68,-4.68
498,20.00,22.47,-2.47
499,20.00,20.63,-0.63
500,20.00,19.52,0.48
501,20.00,17.68,2.32
502,20.00,17.31,2.69
503,20.00,16.21,3.79
504,20.00,19.52,0.48
506,20.00,21.37,-1.37
507,20.00,16.21,3.79
508,20.00,20.26,-0.26
509,20.00,15.84,4.16
510,20.00,15.84,4.16
511,20.00,14.00,6.00
512,20.00,15.47,4.53
513,20.00,16.58,3.42
514,20.00,18.79,1.21
515,20.00,22.10,-2.10
516,20.00,22.47,-2.47
517,20.00,25.05,-5.05
518,20.00,24.68,-4.68
519,20.00,21.37,-1.37
520,20.00,22.47,-2.47
521,20.00,19.89,0.11
522,20.00,21.37,-1.37
523,20.00,22.47,-2.47
524,20.00,22.84,-2.84
525,20.00,23.95,-3.95
526,20.00,22.47,-2.47
527,20.00,21.37,-1.37
528,20.00,17.31,2.69
529,20.00,18.79,1.21
530,20.00,17.68,2.32
532,20.00,15.10,4.90
533,20.00,21.74,-1.74
534,20.00,18.42,1.58
535,20.00,22.10,-2.10
536,20.00,21.74,-1.74
537,20.00,15.84,4.16
538,20.00,18.42,1.58
539,20.00,14.37,5.63
540,20.00,17.68,2.32
541,20.00,15.84,4.16
542,20.00,21.37,-1.37
543,20.00,23.21,-3.21
544,20.00,22.47,-2.47
545,20.00,26.16,-6.16
546,20.00,22.47,-2.47
547,20.00,22.47,-2.47
548,20.00,21.37,-1.37
549,20.00,18.79,1.21
550,20.00,18.79,1.21
